Tip deponije,Godina,Naziv preduzeća,PIB,Matični broj,Opština,Mesto,Šifra mesta,Poštanski broj,Ulica i broj,Telefon,Telefaks,Email,Šifra pretežne delatnosti,"Lokacija (mesto, naselje)",Naziv,Zauzete katastarske parcele,Godina početka deponovanja,Godina završetka deponovanja,"Prosečne godišnje količine otpada, koji se odlaže na nesanitarnu deponiju - smetlište (t)",Gradovi / opštine ili naselja čiji otpad se odlaže na nesanitarnu deponiju - smetlište,Ograda oko nesanitarne deponije - smetlišta,Kapija /rampa na ulazu,Čuvarska služba,Kolska vaga,Drenažni sistem za prikupljanje procednih otpadnih voda,Sistem za prečišćavanje procednih voda sa semtlišta,Sistem za otplinavanje deponijskog gasa,Kojem regionu za upravljanje otpadom pripada vaša opština?,Sa kojim lokalnim samoupravama imate potpisan sporazum o zajedničkom regionalnom upravljanju otpadom?,Nesanitarna deponija - smetlište je:,Operativni status nesanitarne deponije - smetlišta,Da li se na nesanitarnoj deponiji - smetlištu i dalje odlaže otpad?,Način odlaganja otpada,Da li se vrši prekrivanje inertnim materijalom?,Period za koji se predviđa trajanje i eksploatacija nesanitarne deponije - smetlišta,"Da li se vrši i vodi evidencija o količinama i vrstama otpada, koji se odlaže?",Da li se nesanitarna deponija - smetlište ili njen deo nalazi u poplavnom području?,"Da li je za nesanitarno smetlište izrađen Projekat sanacije, zatvaranja i rekultivacije?",Koje godine?,"Da li je pribavljena saglasnost na Projekat sanacije, zatvaranja i rekultivacije?",Koje godine?2,"Da li se izvode radovi po Projektu sanacije, zatvaranja i rekultivacije?","Koji se radovi izvode po Projektu sanacije, zatvaranja i rekultivacije?","Da li se sprovode mere zaštite životne sredine propisane Projektom sanacije, zatvaranja i rekultivacije?","Da li se sprovodi monitoring propisan Projektom sanacije, zatvaranja i rekultivacije?","Da li je potrebna izrada novog ili ažuriranje postojećeg Projekta sanacije, zatvaranja i rekultivacije nesanitarnog smetlišta?",Geografska širina,Geografska dužina
Nesanitarne deponije,2020,JAVNO KOMUNALNO PREDUZEĆE VARVARIN,101144012,7218281,Varvarin,"Varvarin, Varvarin, 709131",709131,37260,"JUHORSKA, TRŽNI CENTAR Lamela 5 5",037788455,037788455,jkpvarvarin@gmail.com,3600,Varvarin,Moravište,"6046/1,5998/1,603-633,648-673",1980,,5000.0,"Ćićevac, Varvarin",Ne,Ne,Ne,Ne,Ne,Ne,Ne,Rasinskom,"Brus,Blace,Aleksandrovac,Ćićevac i Kruševac","Nesanitarna deponija - smetlište, koja se i dalje koristi i fazno zatvara",Aktivno,Da,Nekontrolisano odlaganje,Delimično,Smetlište treba što pre sanirati i zatvoriti,Ne,Da,Da,2019.0,Da,2019.0,ne,,Ne,Ne,Ne,43.7195108,21.3889789
Nesanitarne deponije,2020,Grad Novi Pazar,104004496,7192061,Novi Pazar,"Novi Pazar, Novi Pazar, 730602",730602,36300,Stevana Nemanje 2,062/737-630,,nacelnik@novipazar.org.rs,8411,Čašić Dolac,Golo brdo,"1028/2, 1039/2",1999,,45000.0,"Novi Pazar, Tutin",Ne,Da,Da,Ne,Ne,Ne,Ne,Raška oblast,,"Nesanitarna deponija - smetlište, koja se i dalje koristi i fazno zatvara",Aktivno,Da,Razvrstavanje otpada uz sabijanje i ravnanje,Delimično,Više od 5 godina eksploatacije,Da,Ne,Da,2016.0,Ne,,ne,,Ne,Ne,Da,43.035496,20.425255
Nesanitarne deponije,2020,"JAVNO PREDUZEĆE KOMUNAL MALI IĐOŠ, MALI IĐOŠ",109346787,21165662,Mali Iđoš,"Mali Iđoš, Mali Iđoš, 802506",802506,24321,GLAVNA ULICA  32,0631199401,,jpkomunal.maliidjos@gmail.com,3600,Lovćenac,Deponija Lovćenac,1054,1990,2030.0,288.0,Lovćenac,Da,Da,Da,Ne,Ne,Ne,Ne,Subotica - Regionalna deponija,"Subotica, Kanjiža, B.Topola","Nesanitarna deponija - smetlište, koja se i dalje koristi i fazno zatvara",Aktivno,Da,Razvrstavanje otpada uz sabijanje i ravnanje,Ne,Više od 5 godina eksploatacije,Ne,Ne,Ne,,,,,,,,,45.6895345,19.6988385
Nesanitarne deponije,2020,JKP STANDARD,101092243,8137005,Ada,"Ada, Ada, 800015",800015,24430,8. Oktobar 1,024/851-834,024/851-834,jkpstandardada@gmail.com,3600,Ada,Opštinska deponika komunalnog otpada,"15534, 15535, 15556, 15558 k.o. Ada",1985,,8500.0,"Mol, Ada, Sterijino",Da,Da,Da,Ne,Da,Ne,Da,Kikinda - Novi Bečej,,"Nesanitarna deponija - smetlište, koja se i dalje koristi i fazno zatvara",Aktivno,Da,Sloj po sloj,Delimično,Do 3 godine eksploatacije,Da,Ne,Da,2018.0,Ne,,delimicno,Sanacija,Delimično,Ne,Ne,45.7958676,20.1013361
Nesanitarne deponije,2020,JAVNO KOMUNALNO PREDUZEĆE GRADITELJ SRBOBRAN,101424687,8067546,Srbobran,"Srbobran, Srbobran, 804045",804045,21480,Dositeja Obradovića 2,021/730-158,021/731-012,graditelj@neobee.net,3600,Srbobran,Gradska deponija smeća,7763/2,2006,2025.0,21000.0,"Turija, Srbobran, Nadalj",Ne,Da,Ne,Ne,Ne,Ne,Ne,Južno Bački,"Vrbas, Temerin, Novi Sad, Bačka Palanka, Bački Petrovac, Beočin, Žabalj","Nesanitarna deponija - smetlište, koja se i dalje koristi i fazno zatvara",Aktivno,Da,Sloj po sloj,Delimično,Od 3 do 5 godina ekspoatacije,Ne,Ne,Ne,,,,,,,,,45.615375,19.736438
Nesanitarne deponije,2020,Opština Požega,100860638,7158122,Požega,"Požega, Požega, 733440",733440,31210,Trg Slobode 9,031/381-6401,,nacelnik@pozega.org.rs,8411,Godovik,Deponija Godovik,"2216/1, 2209 KO Godovik, Požega",1975,2019.0,850.0,Požega,Da,Da,Da,Ne,Ne,Ne,Ne,JKP DUBOKO,"Užice, Čačaj, Ivanjica, Kosjerić, Bajina Bašta, Lučani, Čajetina i Arilje",Nesanitarna deponija - smetlište koje se trajno zatvara,Neaktivno,Privremeno,Nekontrolisano odlaganje,Delimično,Smetlište treba što pre sanirati i zatvoriti,Ne,Ne,Ne,,,,,,,,,43.8136797,20.0429123
Nesanitarne deponije,2020,OPŠTINA DIMITROVGRAD,101045378,6867804,Dimitrovgrad,"Dimitrovgrad, Dimitrovgrad, 714364",714364,18320,BALKANSKA 2,0628806412,,ekologija@dimitrovgrad.org,8411,Dimitrovgrad,Kozarica,"3125/1, 3125/2, 3126, 3127, 3128/1, 3129/1, 3129/2, 3130, 3131, 3132/1, 3133/1, 3133/2, 3134, 3137, 3138/1, 3139/1, 3140, 3143, 3147",1970,,500.0,Dimitrovgrad,Da,Da,Da,Ne,Da,Ne,Da,Pirotski region,"Pirot, Babušnica i Bela Palanka",Nesanitarna deponija - smetlište koje se trajno zatvara,Aktivno,Privremeno,Po kasetama,Delimično,Više od 5 godina eksploatacije,Da,Ne,Da,2007.0,Da,2008.0,da,Sanacija,Da,Delimično,Ne,43.026099,22.812156
Nesanitarne deponije,2020,Gradska uprava grada Pirota,100386203,7131674,Pirot,"Pirot, Pirot, 732575",732575,18300,SRPSKIH VLADARA 82 82,010305518,,marko.stanisavljevic@pirot.rs,8411,Pirot,gradsko smetliste pirot,"6568/23,6568/40,6568/28,2132/3,2133/2,2134/2,2135/2,2189,2188,2187,2186,2185,2184,2183,2182,2181/1,2181/6,2136/3,2137/5,2137/6,2137/1,2138/1,2139/1,2140,2141,6568/8,6568/9,6568/30,6568/21,6568/15",1990,2013.0,0.0,Pirot,Ne,Da,Ne,Ne,Ne,Ne,Ne,pirotski,,Nesanitarna deponija - smetlište koje se trajno zatvara,Neaktivno,Ne,Sloj po sloj,Da,Smetlište treba što pre sanirati i zatvoriti,Ne,Ne,Da,2020.0,Da,2020.0,ne,,Da,Delimično,Ne,43.182,22.569
Nesanitarne deponije,2020,Gradska uprava grada Pirota,100386203,7131674,Pirot,"Pirot, Pirot, 732575",732575,18300,SRPSKIH VLADARA 82 82,010305518,,marko.stanisavljevic@pirot.rs,8411,Pirot,Drvarnik,5979 k.o. Rasnica,2010,,2000.0,Pirot,Ne,Ne,Ne,Ne,Ne,Ne,Ne,pirotski,,"Nesanitarna deponija - smetlište, koja se i dalje koristi i fazno zatvara",Aktivno,Da,Sloj po sloj,Delimično,Više od 5 godina eksploatacije,Ne,Ne,Ne,,,,,,,,,43.109,22.56
Nesanitarne deponije,2020,OPŠTINSKA UPRAVA PRIJEPOLJE,100809636,6789919,Prijepolje,"Prijepolje, Prijepolje, 735078",735078,31300,trg  bratstva jedinstva 1,0648560406,,oprijep@gmail.com,8411,Prijepolje,Stanjevine,"781,782,772,774/3,775,777,779,780,1388/1",1972,,10500.0,Prijepolje,Da,Da,Ne,Ne,Ne,Ne,Ne,Zlatiborski,"Priboj, Nova Varos i Sjenica",Nesanitarna deponija - smetlište koje se trajno zatvara,Aktivno,Privremeno,Sloj po sloj,Da,Smetlište treba što pre sanirati i zatvoriti,Da,Ne,Da,2020.0,Da,2020.0,da,Sanacija,Delimično,Delimično,Ne,43.2435,19.382
Nesanitarne deponije,2020,OPŠTINSKA UPRAVA ARILJE,100493722,7254628,Arilje,"Arilje, Arilje, 701629",701629,31230,SV.AHILIJE 53 53,0648497307,,radosava.bjekic@arilje.org.rs,8411,Arilje,VIROVO,KP broj 1 KO Cerova,1965,2004.0,1.0,Arilje,Ne,Ne,Ne,Ne,Ne,Ne,Ne,ZLATIBORSKI,"Ivanjica, Požega,Lučani,Kosjerić,Bajina Bašta,Čajetina, Užice",Nesanitarna deponija - smetlište koje se trajno zatvara,Neaktivno,Ne,Nekontrolisano odlaganje,Ne,Smetlište treba što pre sanirati i zatvoriti,Ne,Da,Da,2019.0,Da,2020.0,ne,,Ne,Ne,Ne,43.46204,20.061617
Nesanitarne deponije,2020,SKUPŠTINA OPŠTINE TITEL,101457453,8050724,Titel,"Titel, Titel, 804738",804738,21240,GLAVNA 1,064/8224242,,uprava@opstinatitel.rs,8411,Titel,Nesanitarna deponija Titel,4292 ko Titel,1989,,3380.0,"Titel, Lok",Da,Da,Ne,Ne,Ne,Ne,Ne,srednjebanatski,"Zrenjanin, Sečanj i Kovačica","Nesanitarna deponija - smetlište, koja se i dalje koristi i fazno zatvara",Aktivno,Da,Nekontrolisano odlaganje,Delimično,Od 3 do 5 godina ekspoatacije,Ne,Ne,Ne,,,,,,,,,45.12371,20.171451
Nesanitarne deponije,2020,Opštinska Uprava Ruma,101913980,8026106,Ruma,"Ruma, Ruma, 803634",803634,22400,Glavna 155,069/720 271,,ruma@ruma.rs,8411,Ruma,smetlište čvrstog komunalnog otpada,10708,1984,,18000.0,Ruma,Da,Da,Da,Ne,Ne,Ne,Ne,Sremsko Mačvanski okrug,Sremska Mitrovica i Šabac,"Nesanitarna deponija - smetlište, koja se i dalje koristi i fazno zatvara",Aktivno,Da,Razvrstavanje otpada uz sabijanje i ravnanje,Da,Smetlište treba što pre sanirati i zatvoriti,Da,Ne,Da,2000.0,Da,2000.0,ne,,Delimično,Ne,Da,45.016111,19.846553
Nesanitarne deponije,2020,OPŠTINA IRIG,101383958,8032165,Irig,"Irig, Irig, 801895",801895,22406,VOJVODE PUTNIKA  1,062400403,,opstinaigir@irig.rs,8411,Vrdnik,Deponija Vrdnik,6197/1; 6197/7,1974,,0.0,Vrdnik,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Sremskom,"Indjija, Ruma, Stara Pazova, Sremski Karlovci, Šid",Nesanitarna deponija - smetlište koje se trajno zatvara,Neaktivno,Ne,Nekontrolisano odlaganje,Delimično,Smetlište treba što pre sanirati i zatvoriti,Ne,Ne,Da,2016.0,Da,2016.0,delimicno,Zatvaranje,Ne,Ne,Ne,45.1089362712614,19.8012825377155
Nesanitarne deponije,2020,OPŠTINA IRIG,101383958,8032165,Irig,"Irig, Irig, 801895",801895,22406,VOJVODE PUTNIKA  1,062400403,,opstinaigir@irig.rs,8411,Irig,Deponija Irig,6841; 6845; 6846,1974,,15000.0,"Mala Remeta, Krušedol Prnjavor, Vrdnik, Neradin, Jazak, Irig, Dobrodol, Krušedol Selo, Rivica, Šatrinci, Velika Remeta",Ne,Ne,Ne,Ne,Ne,Ne,Ne,Sremskom,"Indjija, Ruma, Stara Pazova, Sremski Karlovci, Šid","Nesanitarna deponija - smetlište, koja se i dalje koristi i fazno zatvara",Aktivno,Da,Po kasetama,Delimično,Smetlište treba što pre sanirati i zatvoriti,Ne,Ne,Ne,,,,,,,,,45.075198,19.864311
Nesanitarne deponije,2020,OPŠTINSKA UPRAVA BEČEJ,100742635,8359466,Bečej,"Bečej, Bečej, 801003",801003,21220,TRG OSLOBOĐENJA 2 2,0648989028,,webadmin@becej.rs,8411,Bečej,"Bečej,Botra","25064,25065,25066,25067,25068,25069 i 25070",1965,,20000.0,"Bačko Petrovo Selo, Bačko Gradište, Bečej, Radičević, Mileševo",Da,Da,Da,Ne,Da,Ne,Da,Kikinda,"Kikinda,Ada i Novi Bečej","Nesanitarna deponija - smetlište, koja se i dalje koristi i fazno zatvara",Aktivno,Da,Po kasetama,Da,Od 3 do 5 godina ekspoatacije,Da,Ne,Da,2006.0,Da,2014.0,da,Sanacija,Da,Da,Da,45.592039,20.046126
Nesanitarne deponije,2020,OPŠTINA BOGATIĆ,101442701,7170718,Bogatić,"Bogatić, Bogatić, 705675",705675,15350,MIKE VITOMIROVIĆA 1 1,0628875860,,opstina@bogatic.rs,8411,Dublje,Opštinska deponija za šut,7052 KO Dublje,1990,2022.0,4380.0,"Glogovac, Uzveće, Crna Bara, Belotić, Dublje, Klenje, Salaš Crnobarski, Badovinci, Sovljak, Banovo Polje, Očage, Metković, Bogatić, Glušci",Ne,Ne,Ne,Ne,Ne,Ne,Ne,"Regin ""Srem - Mačva""","Grad Šabac i Grad Sremska Mitrovica (Potpisan Ugovor o pružanju usluga odlaganja komunalnog otpada sa JKP regionalna deponija ""Srem - Mačva"").","Nesanitarna deponija - smetlište, koja se i dalje koristi i fazno zatvara",Aktivno,Da,Razvrstavanje otpada uz sabijanje i ravnanje,Delimično,Do 3 godine eksploatacije,Ne,Ne,Ne,,,,,,,,,44.7743,19.4726
Nesanitarne deponije,2020,OPŠTINA BOGATIĆ,101442701,7170718,Bogatić,"Bogatić, Bogatić, 705675",705675,15350,MIKE VITOMIROVIĆA 1 1,0628875860,,opstina@bogatic.rs,8411,Bogatić,"Centralna javna deponija ""Nišno polje""",3445 i 3690 KO Bogatić,1990,2022.0,5850.0,"Glušci, Dublje, Belotić, Uzveće, Bogatić, Metković",Da,Da,Da,Ne,Ne,Ne,Ne,"Region ""Srem - Mačva""","Grad Šabac i Grad Sremska Mitrovica (Potpisan Ugovor o pružanju usluga odlaganja komunalnog otpada sa JKP regionalna deponija ""Srem - Mačva"").","Nesanitarna deponija - smetlište, koja se i dalje koristi i fazno zatvara",Aktivno,Da,Razvrstavanje otpada uz sabijanje i ravnanje,Da,Do 3 godine eksploatacije,Ne,Ne,Da,2006.0,Da,2006.0,ne,,Delimično,Nije primenljivo,Da,44.8338,19.4535
Nesanitarne deponije,2020,Budžet opštine Kladovo,100697090,7213182,Kladovo,"Kladovo, Kladovo, 716588",716588,19320,Kralja Aleksandra 35,019801450,019801563,opstina@kladovonet.com,8411,Milutinovac,Šukeret,"274. 275, 276 KO Milutinovac",1997,2025.0,8500.0,Kladovo,Da,Da,Da,Ne,Ne,Ne,Ne,Bor,"Negotin, Majdanpek, Zaječar, Bor, Boljevac, Knjaževac","Nesanitarna deponija - smetlište, koja se i dalje koristi i fazno zatvara",Aktivno,Da,Razvrstavanje otpada uz sabijanje i ravnanje,Delimično,Od 3 do 5 godina ekspoatacije,Ne,Ne,Da,2005.0,Da,2005.0,ne,,Delimično,Nije primenljivo,Da,44.56,22.56
Nesanitarne deponije,2020,Opština Negotin,100566475,7233345,Negotin,"Negotin, Negotin, 728675",728675,19300,Trg Stevana Mokranjca 1,019 544 000,019 544 000,ekoneg@mts.rs,8411,Negotin,Gradska deponija,"10251,10258",1959,2030.0,8000.0,Negotin,Da,Da,Ne,Ne,Ne,Ne,Ne,Borski okrug,"Zaječar, Knjaževac, Kladovo, Majdanpek,Boljevac","Nesanitarna deponija - smetlište, koja se i dalje koristi i fazno zatvara",Aktivno,Da,Razvrstavanje otpada uz sabijanje i ravnanje,Delimično,Više od 5 godina eksploatacije,Da,Ne,Da,2006.0,Ne,,ne,,Delimično,Ne,Da,44.239864,22.556559
Nesanitarne deponije,2020,Opština Temerin - Opštinska uprava,101869888,8330514,Temerin,"Temerin, Temerin, 804681",804681,21235,Novosadska 326,843888,,goran.grkovic@gmail.com,8411,Temerin,Deponija čvrstog komunalnog otpada Temerin,"8001, 8116, 8117,8118, 8119, 8120, 8122,",1965,2020.0,7300.0,Temerin,Da,Da,Da,Ne,Ne,Ne,Da,Novi Sad,"Novi Sad, Bačka Palanka, Bački Petrovac, Beočin, Žabaj, Vrbas, Srbobran","Nesanitarna deponija - smetlište, koja se i dalje koristi i fazno zatvara",Aktivno,Da,Razvrstavanje otpada uz sabijanje i ravnanje,Delimično,Do 3 godine eksploatacije,Ne,Ne,Da,2010.0,Da,2010.0,da,Sanacija,Delimično,Ne,Da,45.4239165,19.8547558
Nesanitarne deponije,2020,OPŠTINSKA UPRAVA MADJANPEK,100987089,7212577,Majdanpek,"Majdanpek, Majdanpek, 726869",726869,19250,SVETOG SAVE BB bb,0648129730,,urbanizam@majdanpek.rs,8411,Majdanpek,bele vode,1258/2 i 1258/4,2004,,1780.0,Majdanpek,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Halovo,"Zaječar, Bor,Knjaževac i Boljevac","Nesanitarna deponija - smetlište, koja se i dalje koristi i fazno zatvara",Aktivno,Da,Nekontrolisano odlaganje,Ne,Smetlište treba što pre sanirati i zatvoriti,Da,Ne,Da,2009.0,Ne,,ne,,Ne,Ne,Ne,44.404548,21.946732
